video_id,comentarios,autores,respuestas,me_gusta,title,channel_name,channel_id,view_count,category
aoz2j4TTl4E,0,0,0,0,Rutas Alternas a partir del lunes 03 de agosto por avances de #AeroMetroGT,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,8905,News & Politics
677N9cx_kKE,0,0,0,0,Carlos Pineda Seguridad I - Guatemala tiene solución | Ep. 2,Carlos Pineda,UCInL6HZez6Qn8IHV8Achhxw,8568,People & Blogs
iEmScdnYQdg,0,0,0,0,La nueva ruta que evita El Trébol,Tráfico Sin Censura,UCmzHLdcizBNiyN5t2mEPp3A,8502,People & Blogs
a3QGSpNx9Mg,0,0,0,0,Guatemala ya no aguanta el tráfico… ¿Funcionará el Aerómetro?,Entre Caminos,UCHBzKtCUFwHuKFGD3bEHexQ,8098,Travel & Events
NcIcixCdQH4,0,0,0,0,PNC garantiza seguridad a turistas que visitan el colcán de Agua,PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,7681,Science & Technology
lNuxq8OKCpc,0,0,0,0,Lluvias convierten calles en ríos en Villa Nueva y San Miguel Petapa,PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,7663,News & Politics
3bU7I_ZpXUk,0,0,0,0,Congreso inicia proceso para nombrar a nuevo Fiscal General en Guatemala y suceder a Consuelo Porras,PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,7465,News & Politics
go4jAhCJS0w,0,0,0,0,Así reaccionaría la guardia presidencial de la Saas en caso de una emergencia,PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,7381,News & Politics
9Jacxvi9umU,0,0,0,0,Los responsables de bloquear información en Guatecompras,Somos El Combo,UCDvpZGLyno6g-bi-wwYq4wQ,7340,Entertainment
hGOvuWe8P3Q,0,0,0,0,🔴ENTREGAN A NOROÑA ALITO NEGOCIA CON MONREAL PREPARAN MEGÁFONOS PORROS DEL PRIAN,Vittor Blogs,UClivsn4u-h1uJkORB6PD9SQ,6682,News & Politics
G2u4Rbq7zU4,0,0,0,0,Arévalo anuncia nueva cárcel de máxima seguridad en Guatemala,TN23 Guatemala,UCt5Dw7ePnn0AqPqRF8Xpjkw,6327,News & Politics
0LTLUY7LBlA,0,0,0,0,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",De viaje con Migue,UCfMjuFkpFo_QAWtvQqR2EHQ,6099,Travel & Events
EQDcEgFpXCk,0,0,0,0,Guatemala: Gobierno refuerza lucha contra las pandillas en medio de crisis de seguridad,FRANCE 24 Español,UCUdOoVWuWmgo1wByzcsyKDQ,5459,News & Politics
lkdwGwrJKeM,0,0,0,0,🇬🇹 ¿Es seguro VIAJAR a Guatemala? Consejos prácticos para que todo te salga bien,Un Angel Viajando,UCeMAsS36ZiA56ZNtS8VSuOg,5298,Travel & Events
rSQKmOX1Tfc,0,0,0,0,TU VIDA VALE  PROVIAL  TIEMPO AZUL & PAOLA PÉRLOP,Mosca Visión,UCquHy3UnphbYGF62_j6W_yQ,5262,Music
ELhvo8YnYnI,0,0,0,0,Insivumeh prevé lluvias fuertes por dos ondas del este,TN23 Guatemala,UCt5Dw7ePnn0AqPqRF8Xpjkw,5182,News & Politics
2iqOSL9YguA,0,0,0,0,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,Guatevisión,UCDaIW3kDab95q7iCSeVAnbQ,5181,Entertainment
XktDG8dmcd0,0,0,0,0,Torrenciales lluvias dejan decenas de muertos y miles de evacuados,DW Español,UCT4Jg8h03dD0iN3Pb5L0PMA,5171,News & Politics
dya9nbxqWXE,0,0,0,0,ANDY EL MUÑEQUITO TRABAJADOR 🥴🏍🥴🤣@Soychap1n @lucilaylossinar @lilyvlogs6899,CANALES ROBOS Y MENTIRAS 💰🧐,UCzwR2o8LFAgAMfO0KIcFh0A,4939,People & Blogs
MMECHN8SFNw,0,0,0,0,"Noticiero en Directo 1 pm, 27 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,UCdSVqHGHzyMTXSafUHY-e-w,4838,News & Politics
W415t12o3DA,0,0,0,0,Mujer con crisis nerviosa tras intento de asalto,TN23 Guatemala,UCt5Dw7ePnn0AqPqRF8Xpjkw,4737,News & Politics
Q7j1OUxkn9w,0,0,0,0,Dañan puerta del área de parqueo del Congreso,InfoGT Noticias,UCmoP9Lvc92Bsl4Vu90kv9GQ,4725,People & Blogs
3onMfRym3OU,0,0,0,0,PRIMER PUENTE DONDE ARRIBA VA EL TRÁFICO Y ABAJO UN TREN EN GUATEMALA Y AMÉRICA LATINA.,Cronos Time GT,UCH1AYkCs1GpNK_xUwFYTsaQ,4484,Education
ZhrDgVZkhg4,0,0,0,0,FORMACION BRIGADA DE PROVIAL,PROVIAL GUATEMALA,UCnbd_gs8-e1CQ6izIYtnSig,4419,People & Blogs
aSbvMYJhmCc,0,0,0,0,Policía Nacional Civil,Ministerio de Gobernación,UC8u2nvyHewt-mjdWSj0HJmQ,4346,News & Politics
Bp4LtQT8Hk0,0,0,0,0,"Ciudad de Guatemala, el mejor lugar para vivir",Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,4265,Entertainment
g0aCNpZaAZ8,0,0,0,0,PMT de Guatemala es ejemplo para otros municipios,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,4103,News & Politics
YJohmVLc9QA,0,0,0,0,How to Get Around Guatemala: Complete Transportation Guide (2026),Chris & Grace,UCCM52vmXEcGzRlYyjP47PPg,3897,Travel & Events
ifJFNGT4azU,0,0,0,0,Podcast Guatemala Ahora Yo Se: Medidas De Seguridad Con el Lic. Ariel Yos y el Lic. Gabriel Quiñones,Ahora Yose,UC1B5-Dun1FHWae_rIJdfhow,3631,People & Blogs
