node_id,tipo,etiqueta,grado,grado_ponderado,canal,categoria,visualizaciones,handle
v:Oztw_Hta52I,video,TRAFICO EN GUATEMALA,0,0,CHAPINISIMO,Entertainment,2326,
v:PMaSDoG0H1U,video,¿Adiós al tráfico? Así es la nueva carretera Radial 6 para Guatemala,0,0,La Red 1061,News & Politics,60,
v:Pg1qw0KJI4E,video,"Surgen detalles de la masacre en Boca del Monte: madre de un bombero e influencer, entre víctimas",0,0,PrensaLibreOficial,News & Politics,20503,
v:PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,19,25,Gobierno de la República de Guatemala,Entertainment,3628,
v:Q-MNTYsZgk4,video,¿Qué ha pasado con la contaminación del aire?,0,0,Quorum,News & Politics,45,
v:Q7j1OUxkn9w,video,Dañan puerta del área de parqueo del Congreso,0,0,InfoGT Noticias,People & Blogs,4725,
v:Q7nhEeibBK4,video,Desfile navideño 2024  -   @MunicipalidaddeGuatemala-1551,0,0,ALIS MOLINA CREA,Entertainment,255,
v:QUG4etpjgos,video,Guatemala Habla sobre la seguridad en el país,0,0,Diario de Centro América,News & Politics,35,
v:Qc_oHqe4Cjc,video,QUÉ GUARDAS EN LA CINTURA?  🔫🥕🥓🐷🤔@lilyvlogs6899 @ElJuanete1987 @Soychap1n @SimplementeFlori,0,0,CANALES ROBOS Y MENTIRAS 💰🧐,People & Blogs,2166,
v:R-fRv_WoZOE,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,0,0,Gobierno de la República de Guatemala,Entertainment,1284,
v:RIpKKQh26cg,video,Ejército de Guatemala descubre túnel para fuga masiva en penal de Pavón,0,0,TN23 Guatemala,News & Politics,29782,
v:RjG-y7Y2-k4,video,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,0,Diario de Centro América,News & Politics,239,
v:Rk-3ks9mh3o,video,CIV ✔️ garantiza transparencia 🔍 y rendición de cuentas📝,0,0,CIV -Ministerio de Comunicaciones,News & Politics,21,
