source,target,peso,author_channel_id,video_id,autor,video
a:UCZFQwqh90apuL8eFhvRBkUg,v:6W4u8sGEnGM,1,UCZFQwqh90apuL8eFhvRBkUg,6W4u8sGEnGM,@luisricardo9671,Inician los trabajos de recuperación del Puente Belice II.
a:UCZIQnb1fkwe39Iw2TAu-bGA,v:WIUZtitfLRw,1,UCZIQnb1fkwe39Iw2TAu-bGA,WIUZtitfLRw,@jorgegomez2237,Caminar en una ciudad hecha para carros
a:UCZLG9qH0tUjNhEGFIUt0CYw,v:n8iP75gIpmw,1,UCZLG9qH0tUjNhEGFIUt0CYw,n8iP75gIpmw,@SoniaMarroquin-y6e,Qué rico come tu diputado
a:UCZOmq6MwFDVoCaEl99BRRaw,v:ndAZjHqzzT8,1,UCZOmq6MwFDVoCaEl99BRRaw,ndAZjHqzzT8,@daniloarevalo3170,Internet: escoger el menos malo
a:UCZeIIQrGAedW8tCbKWmGY-A,v:j43HgwYFKfk,1,UCZeIIQrGAedW8tCbKWmGY-A,j43HgwYFKfk,@mariocordon8873,La cooptación de Walter Mazariegos en la USAC
a:UCZjm6U576nX8WOiLhmMR3bw,v:OkXlHx0hx-8,1,UCZjm6U576nX8WOiLhmMR3bw,OkXlHx0hx-8,@MariaNavarroYT,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
a:UC_3xuTXvMIWU5MYP9HkJ3vQ,v:06mFNPU0aB8,1,UC_3xuTXvMIWU5MYP9HkJ3vQ,06mFNPU0aB8,@Historia-wm4os,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto
a:UC_6KbBY1bsYXz9fwFS0eQRg,v:ndAZjHqzzT8,1,UC_6KbBY1bsYXz9fwFS0eQRg,ndAZjHqzzT8,@imrcp5694,Internet: escoger el menos malo
a:UC_LYoGs5C3mbZKZuKuqYCvw,v:j43HgwYFKfk,1,UC_LYoGs5C3mbZKZuKuqYCvw,j43HgwYFKfk,@javiercifuentesarchila6041,La cooptación de Walter Mazariegos en la USAC
a:UC_NRVt2UP88ZNTwzrZ66JSg,v:UhL9y3KUl8E,1,UC_NRVt2UP88ZNTwzrZ66JSg,UhL9y3KUl8E,@aditalissethevasquezrojas8039,SHAI WA: la vecina queer de Casa Presidencial
